State,Frequency Group,Population
California,High,39250017
New York,Mid,19745289
Texas,Mid,27862596
Florida,High,20612439
Illinois,High,12801539
Pennsylvania,Mid,12784227
Ohio,Low,11646273
Georgia,Low,10310371
North Carolina,Low,10146788
Michigan,Low,9928301
New Jersey,Mid,8944469
Virginia,Mid,8411808
Washington,Low,7288000
Arizona,Low,6931071
Massachusetts,Mid,6811779
Tennessee,Low,6651194
Indiana,Low,6633053
Missouri,Low,6093000
Maryland,Mid,6016447
Wisconsin,Low,5778708
Colorado,Low,5540545
Minnesota,Low,5519952
South Carolina,Low,4961119
Alabama,Low,4863300
Louisiana,Low,4681666
Kentucky,Low,4436974
Oregon,Low,4093465
Oklahoma,Low,3923561
Connecticut,Mid,3576452
Iowa,Low,3134693
Utah,Low,3051217
Mississippi,Low,2988726
Arkansas,Low,2988248
Nevada,Low,2940058
Kansas,Low,2907289
New Mexico,Low,2081015
Nebraska,Low,1907116
West Virginia,Low,1831102
Idaho,Low,1683140
Hawaii,High,1428557
New Hampshire,Low,1334795
Maine,Low,1331479
Rhode Island,Low,1056426
Montana,Low,1042520
Delaware,Low,952065
South Dakota,Low,865454
North Dakota,Low,757952
Alaska,Low,741894
District of Columbia,High,681170
Vermont,Low,624594
Wyoming,Low,585501
